townland_name,has_parish,has_barony,has_county,detected_at
BALLINTOMBAY UPPER,False,False,False,2026-06-09
BALLYBOY,False,False,False,2026-06-09
BALLYBRAID,False,False,False,2026-06-09
BALLYLUG,False,False,False,2026-06-09
BALLYLUSK,False,False,False,2026-06-09
BALLYSHEAMAN,False,False,False,2026-06-09
BALLYTEIGE,False,False,False,2026-06-09
CARRIGLINNEEN,False,False,False,2026-06-09
CLARABEG NORTH,False,False,False,2026-06-09
CLARABEG SOUTH,False,False,False,2026-06-09
CLARA MORE,False,False,False,2026-06-09
CULLENTRAGH BIG,False,False,False,2026-06-09
CULLENTRAGH LITTLE,False,False,False,2026-06-09
CULLENTRAGH PARK,False,False,False,2026-06-09
GREENAN BEG,False,False,False,2026-06-09
GREENAN MORE,False,False,False,2026-06-09
KIRIKEE,False,False,False,2026-06-09
KNOCKRATH BIG,False,False,False,2026-06-09
KNOCKRATH LITTLE,False,False,False,2026-06-09
LICKEEN,False,False,False,2026-06-09
TROOPERSTOWN,False,False,False,2026-06-09
AVONDALE,False,False,False,2026-06-09
BALLINACARRIG LOWER,False,False,False,2026-06-09
BALLINACARRIG UPPER,False,False,False,2026-06-09
BALLINDERRY LOWER,False,False,False,2026-06-09
BALLINDERRY UPPER,False,False,False,2026-06-09
BALLYCARRIGEEN,False,False,False,2026-06-09
BALLYDOWLING HILL,False,False,False,2026-06-09
BALLYGANNON,False,False,False,2026-06-09
BALLYHAD LOWER,False,False,False,2026-06-09
BALLYHAD UPPER,False,False,False,2026-06-09
BALLYKNOCKAN LOWER,False,False,False,2026-06-09
BALLYKNOCKAN UPPER,False,False,False,2026-06-09
BALLYSHEEMAN,False,False,False,2026-06-09
BALLYTRASNA,False,False,False,2026-06-09
COPSE,False,False,False,2026-06-09
CORBALLIS LOWER,False,False,False,2026-06-09
CORBALLIS UPPER,False,False,False,2026-06-09
GARRYMORE LOWER,False,False,False,2026-06-09
GARRYMORE UPPER,False,False,False,2026-06-09
KNOCKADOSAN,False,False,False,2026-06-09
MEETINGS,False,False,False,2026-06-09
RATHDRUM,False,False,False,2026-06-09
TANSEYCLOSE,False,False,False,2026-06-09
DO WORKHOUSE,False,False,False,2026-06-09
AGHAVANNAGH RAM,False,False,False,2026-06-09
AGHAVANNAGH REVELL,False,False,False,2026-06-09
BALLINACOR ED BALLINACOR,False,False,False,2026-06-09
BALLINAGAPPOGE,False,False,False,2026-06-09
BALLINANTY,False,False,False,2026-06-09
BALLINATONE LOWER,False,False,False,2026-06-09
BALLINATONE UPPER,False,False,False,2026-06-09
BALLYCREEN LOWER,False,False,False,2026-06-09
BALLYCREEN UPPER,False,False,False,2026-06-09
BARAVORE,False,False,False,2026-06-09
CAPPAGH,False,False,False,2026-06-09
CLOHERNAGH,False,False,False,2026-06-09
CLONKEEN,False,False,False,2026-06-09
CORRASILLAGH,False,False,False,2026-06-09
FANANIERIN,False,False,False,2026-06-09
MONEYMEEN,False,False,False,2026-06-09
MUCKLAGH ED BALLINACOR,False,False,False,2026-06-09
ROSAHANE,False,False,False,2026-06-09
AUGHRIM LOWER,False,False,False,2026-06-09
AUGHRIM UPPER,False,False,False,2026-06-09
BAHANA KING,False,False,False,2026-06-09
BAHANA WHALEY,False,False,False,2026-06-09
BALLEESHAL,False,False,False,2026-06-09
BALLINACLASH,False,False,False,2026-06-09
BALLYEUSTACE,False,False,False,2026-06-09
BALLYMONEY,False,False,False,2026-06-09
BALLYMORRIS LOWER,False,False,False,2026-06-09
BALLYMORRIS UPPER,False,False,False,2026-06-09
BALLYSHANE,False,False,False,2026-06-09
CLONEEN,False,False,False,2026-06-09
CLONERKIN,False,False,False,2026-06-09
